scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create6770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create6770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
2023-04-18 17:06:23.850848,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,create
2023-04-18 17:06:30.191972,1120320投信座位圖.xlsx,2023-03-20 17:24:44.567235,.xlsx,delete
scan_time,file_name,modified_time,file_type,state
2023-04-18 17:06:14.946770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create6770,臺灣指數公司TIP指數系列企業活動處理通則.pdf,2023-04-06 10:42:51.336540,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司有價證券指數通則.pdf,2023-04-06 10:38:57.565899,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣上市上櫃智慧50指數編製規則 (1).pdf,2023-04-14 12:45:51.520338,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選臺灣晶圓製造指數編製規則.pdf,2023-04-14 12:45:57.087019,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司特選高股息低波動股價指數編製規則.pdf,2023-04-06 10:40:19.277441,.pdf,create
2023-04-18 17:06:14.946770,臺灣指數公司自由流通量係數編製規則.pdf,2023-04-14 14:37:08.118763,.pdf,create
2023-04-18 17:06:14.946770,資料欄位.xlsx,2023-04-18 16:17:43.583759,.xlsx,create
